0.71610342	0.73821128	0.75601882
0.72700613	0.73713561	0.75219893
0.70597906	0.66455805	0.73322546
0.68696861	0.64322958	0.71808161
0.69906887	0.71052503	0.68270049
0.68374731	0.70298192	0.67622388
0.7855709	0.79213877	0.66318991
0.72886385	0.75103144	0.64942664
0.72871926	0.75694843	0.64547737
0.62805942	0.64503671	0.6365115
0.60604694	0.63455954	0.61796945
0.68257386	0.609857	0.57056631
0.68500849	0.61214919	0.56962112
0.69867867	0.65752337	0.55765971
0.69427773	0.65262909	0.54838125
0.54623845	0.54897305	0.54317476
0.57012811	0.55723856	0.50302508
0.61637488	0.61687185	0.49928407
0.52813929	0.57935704	0.49895036
0.54489641	0.57610938	0.49461292
0.51101892	0.48168399	0.49187061
0.62249593	0.61999665	0.49076818
0.56728547	0.54440345	0.4881079
0.58249436	0.60126185	0.4853817
0.57882922	0.6003156	0.47638084
0.44705826	0.47919884	0.36027239
0.41542588	0.457232	0.339318
0.43332466	0.4250133	0.33884059
0.44791459	0.44863272	0.33846288
0.17849761	0.15136883	0.19383863
0.16421105	0.14638177	0.17818103
